address_id,address,address2,district,city_id,postal_code,phone,location,last_update
1,47 MySakila Drive,null,Alberta,300,,,[B@291ae,2014-09-25 23:30:27.0
2,28 MySQL Boulevard,null,QLD,576,,,[B@61df66b6,2014-09-25 23:30:09.0
3,23 Workhaven Lane,null,Alberta,300,,14033335568,[B@50eac852,2014-09-25 23:30:27.0
4,1411 Lillydale Drive,null,QLD,576,,6172235589,[B@16ec5519,2014-09-25 23:30:09.0
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,[B@2f7298b,2014-09-25 23:31:53.0
6,1121 Loja Avenue,,California,449,17886,838635286649,[B@188715b5,2014-09-25 23:34:01.0
7,692 Joliet Street,,Attika,38,83579,448477190408,[B@1ea9f6af,2014-09-25 23:31:07.0
8,1566 Inegl Manor,,Mandalay,349,53561,705814003527,[B@6a192cfe,2014-09-25 23:32:18.0
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,[B@5119fb47,2014-09-25 23:33:16.0
10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434,[B@7193666c,2014-09-25 23:33:55.0
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373,[B@20deea7f,2014-09-25 23:34:11.0
12,478 Joliet Way,,Hamilton,200,77948,657282285970,[B@3835c46,2014-09-25 23:32:22.0
13,613 Korolev Drive,,Masqat,329,45844,380657522649,[B@1dde4cb2,2014-09-25 23:32:29.0
14,1531 Sal Drive,,Esfahan,162,53628,648856936185,[B@7714e963,2014-09-25 23:31:36.0
15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345,[B@20ce78ec,2014-09-25 23:31:53.0
16,808 Bhopal Manor,,Haryana,582,10672,465887807014,[B@393671df,2014-09-25 23:31:30.0
17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538,[B@56620197,2014-09-25 23:33:27.0
18,770 Bydgoszcz Avenue,,California,120,16266,517338314235,[B@6eda5c9,2014-09-25 23:33:47.0
19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354,[B@55b7a4e0,2014-09-25 23:31:13.0
20,360 Toulouse Parkway,,England,495,54308,949312333307,[B@5f058f00,2014-09-25 23:33:40.0
21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682,[B@192d43ce,2014-09-25 23:32:48.0
22,320 Brest Avenue,,Kaduna,252,43331,747791594069,[B@72057ecf,2014-09-25 23:32:25.0
23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893,[B@1afd44cb,2014-09-25 23:33:03.0
24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132,[B@6973b51b,2014-09-25 23:32:30.0
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063,[B@1ab3a8c8,2014-09-25 23:30:12.0
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323,[B@43195e57,2014-09-25 23:32:16.0
27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323,[B@333291e3,2014-09-25 23:31:58.0
28,96 Tafuna Way,,Crdoba,128,99865,934730187245,[B@479d31f3,2014-09-25 23:30:05.0
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706,[B@40ef3420,2014-09-25 23:32:31.0
30,18 Duisburg Boulevard,,,121,58327,998009777982,[B@498d318c,2014-09-25 23:31:08.0
31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025,[B@6e171cd7,2014-09-25 23:32:36.0
32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005,[B@402bba4f,2014-09-25 23:31:20.0
33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151,[B@795cd85e,2014-09-25 23:31:53.0
34,1668 Anpolis Street,,Taipei,316,50199,525255540978,[B@59fd97a8,2014-09-25 23:33:15.0
35,33 Gorontalo Way,,West Bengali,257,30348,745994947458,[B@f5ac9e4,2014-09-25 23:31:18.0
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774,[B@123ef382,2014-09-25 23:31:17.0
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,911872220378,[B@dbf57b3,2014-09-25 23:31:42.0
38,61 Tama Street,,Okayama,284,94065,708403338270,[B@384ad17b,2014-09-25 23:31:49.0
39,391 Callao Drive,,Midi-Pyrnes,544,34021,440512153169,[B@61862a7f,2014-09-25 23:31:01.0
40,334 Munger (Monghyr) Lane,,Markazi,31,38145,481183273622,[B@441772e,2014-09-25 23:31:36.0
41,1440 Fukuyama Loop,,Henan,362,47929,912257250465,[B@7334aada,2014-09-25 23:30:40.0
42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737,[B@1d9b7cce,2014-09-25 23:32:15.0
43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631,[B@4d9e68d0,2014-09-25 23:30:23.0
44,671 Graz Street,,Oriental,353,94399,680768868518,[B@42e99e4a,2014-09-25 23:32:16.0
45,42 Brindisi Place,,Yerevan,586,16744,42384721397,[B@14dd9eb7,2014-09-25 23:30:08.0
46,1632 Bislig Avenue,,Nonthaburi,394,61117,471675840679,[B@52e6fdee,2014-09-25 23:33:20.0
47,1447 Imus Way,,Tahiti,167,48942,539758313890,[B@6c80d78a,2014-09-25 23:31:02.0
48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820,[B@62150f9e,2014-09-25 23:32:54.0
49,1718 Valencia Street,,Antofagasta,27,37359,675292816413,[B@1a451d4d,2014-09-25 23:30:29.0
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845,[B@7fa98a66,2014-09-25 23:32:55.0
